#separator:Semicolon
#html:true
#notetype:Basic
#deck:Épistémologie - CM5
#tags:epistemologie

Question;Réponse
"Quelle citation de Lagache résume le problème central de la psychologie ?";"« La multiplicité des psychologies pose le problème de l'unité de la psychologie »"
"Selon Lagache, quel est l'objet central qui assure l'unité de la psychologie ?";"La <b>conduite</b> : « l'ensemble des réponses significatives par lesquelles l'être vivant en situation intègre les tensions qui menacent l'unité et l'équilibre de l'organisme »"
"Quelle est la tension fondamentale qui traverse la psychologie comme discipline ?";"Une tension permanente entre <b>unité scientifique</b> (sciences de la nature : expérimentation, mesure, objectivité) et <b>diversité</b> des méthodes, objets et théories (sciences humaines : comprendre le sens des conduites)"
"Quelles sont les deux grandes positions entre lesquelles la psychologie est tiraillée selon Lagache ?";"D'un côté les <b>sciences de la nature</b> (expérimentation, mesure, objectivité) et de l'autre les <b>sciences humaines</b> (compréhension du sens des conduites humaines)"
"Quel est le titre de psychologue en France et comment s'obtient-il ?";"C'est une profession réglementée. Il nécessite une <b>licence mention psychologie</b> + un <b>master mention psychologie</b>. L'inscription au répertoire <b>ADELINE</b> est obligatoire. Le doctorat seul ne suffit pas."
"Quel est le principe fondamental du code de déontologie des psychologues ?";"« Le respect de la personne dans sa dimension psychique est un droit inaliénable. Sa reconnaissance fonde l'action des psychologues. »"
"Combien d'articles comprend le code de déontologie des psychologues et comment sont-ils répartis ?";"<b>56 articles</b> : 32 sur l'exercice professionnel, 13 sur la formation du psychologue, 11 sur la recherche en psychologie"
"Quels sont les 6 principes généraux du code de déontologie des psychologues ?";"1. Respect des droits fondamentaux de la personne<br>2. Respect de la vie privée, du secret professionnel et de la confidentialité<br>3. Intégrité et probité<br>4. Compétence (connaissances théoriques et méthodologiques)<br>5. Responsabilité et autonomie professionnelle<br>6. Rigueur et respect du cadre d'intervention"
"Qui est Wilhelm Wundt et pourquoi est-il important ?";"Considéré comme le <b>père fondateur de la psychologie scientifique</b>. En 1879, il crée le <b>premier laboratoire de psychologie expérimentale</b> à l'Université de Leipzig. Il distingue psychologie individuelle (processus élémentaires, méthode expérimentale) et psychologie collective (Völkerpsychologie)."
"Qu'est-ce que la Völkerpsychologie chez Wundt ?";"La <b>psychologie des peuples</b> : étude des processus psychiques « qui sont à la base de chaque développement des communautés humaines ». Elle s'intéresse au langage, aux mythes, à la religion. Elle a été longtemps ignorée par les psychologues, contrairement à la branche expérimentale."
"Quelle est la différence fondamentale entre le béhaviorisme et le cognitivisme dans leur conception de l'être humain ?";"<b>Béhaviorisme</b> : l'homme est une <i>machine à répondre</i> (sujet passif, relation Stimulus→Réponse, les processus internes sont une « boîte noire »).<br><b>Cognitivisme</b> : l'homme est une <i>machine à inférer</i> (sujet actif, intérêt pour les processus de connaissance : mémoire, raisonnement, représentation)."
"Quel est le modèle S-O-R du cognitivisme par rapport au S-R du béhaviorisme ?";"Le béhaviorisme étudie S→R (Stimulus→Réponse).<br>Le cognitivisme introduit l'Organisme : S→<b>O</b>→R, où O désigne les processus cognitifs internes (inférences, représentations). On passe d'une psychologie du comportement à une psychologie de la connaissance."
"Qu'est-ce que le « virus du précurseur » en histoire de la psychologie sociale ?";"La tendance des manuels à désigner un auteur unique (ex : Triplett, 1898) comme fondateur d'une discipline, ce qui constitue souvent un <b>artefact historique</b> qui simplifie l'histoire réelle et efface d'autres contributions antérieures."
"Quelle est l'expérience de Norman Triplett (1898) et pourquoi est-elle présentée comme première expérience en psychologie sociale ?";"Il étudie l'<b>effet de la compétition sur la performance</b> (temps pour donner 150 tours à un moulinet, seul vs en groupe). Les manuels la présentent comme la première expérience de psycho sociale, mais c'est un artefact : d'autres travaux antérieurs existaient."
"Quel enseignement apporte le travail historique de l'APA (2021) sur le racisme scientifique ?";"Il montre que la psychologie a participé à la construction de <b>hiérarchies raciales</b>, que certaines pratiques ont été influencées par des idéologies racistes, et que <b>les sciences ne sont jamais totalement neutres</b>. Il invite à une posture critique, éthique et réflexive."
"Quelle est la relation entre psychiatrie, psychopathologie et psychologie clinique ?";"<b>Psychiatrie</b> : orientée vers le soin.<br><b>Psychopathologie</b> : connaissance et compréhension du pathologique.<br><b>Psychologie clinique</b> : étude des problèmes psychiques dans des conduites normales et pathologiques, et intervention. En France, lien historique fort avec la psychanalyse."
"Qui est considéré comme le précurseur de la psychologie clinique et pourquoi ?";"<b>Pierre Janet</b> : il a appliqué les résultats de la psychologie expérimentale aux maladies mentales. Il a développé la psychologie des conduites, le concept de dissociation, et utilisé l'hypnose comme méthode expérimentale."
"Quelle est la définition de la psychologie clinique selon W. Huber ?";"« La branche de la psychologie qui a pour objet les problèmes et troubles psychiques ainsi que la composante psychique des troubles somatiques. Elle est donc l'étude des problèmes psychiques se manifestant dans des conduites normales et pathologiques, et de l'intervention dans ces conduites. »"
"Quelle est la distinction entre clinicien et praticien selon Pedinielli ?";"Le <b>praticien</b> exerce une technique.<br>Le <b>clinicien</b> peut pratiquer une technique mais la replace dans un contexte global, avec recul et position « méta » par rapport aux choix praxéologiques."
"Comment Lagache et Favez-Boutonnier se sont-ils opposés sur la psychologie clinique ?";"<b>Lagache</b> : la clinique est une <i>méthode spécifique</i> (observation, entretien, étude de cas), pas une théorie.<br><b>Favez-Boutonnier</b> : défend la psychopathologie clinique en gardant ses distances avec les évaluations. Opposition méthode vs théorie."
"Quels sont les grands paradigmes en psychologie clinique ?";"Phénoménologie (Binswanger), psychologie des conduites (Janet), psychanalyse (Freud), comportementalisme, puis cognitivisme (Beck)."
"Qu'est-ce que la phénoménologie en psychologie clinique ?";"Approche centrée sur la <b>description de l'être au monde</b> (Dasein). Position clinique de saisie intuitive de l'expérience subjective du patient, suspension du jugement (épochè), distinction comprendre/expliquer. Auteurs : Husserl, Heidegger, Jaspers, Binswanger."
"Quelle est la théorie des stades libidinaux selon Abraham ?";"Abraham propose une hiérarchie de stades : <b>oral 1</b> (suçotement) → <b>oral 2</b> sadique (mordillement) → <b>anal</b> → <b>phallique</b>. Ces stades correspondent à des étapes du développement de l'enfant et influenceront Melanie Klein (relation au sein, position schizo-paranoïde, position dépressive)."
"Quelles sont les ruptures de Freud avec Adler et Jung ?";"<b>Adler</b> (rupture 1911) : théorie concurrente centrée sur la « protestation virile » et l'agressivité, rejetant le primat de la pulsion sexuelle.<br><b>Jung</b> : désaccord sur la sexualité infantile et la libido ; Jung développe l'inconscient collectif et les archétypes (phylogenèse), Freud y voit des expressions de l'inconscient individuel."
"Qu'est-ce que l'inconscient collectif chez Jung ?";"Concept junguien : un inconscient qui se transmet de génération en génération <b>phylogénétiquement</b>. Il contient des <b>archétypes</b> (modèles universels tirés des mythes et cultures collectives), distinct de l'inconscient personnel freudien."
"Quelle est la différence de conception entre Freud et Jung sur les mythes ?";"<b>Freud</b> : les productions culturelles (mythes) sont l'expression des productions de l'inconscient individuel et des pulsions sexuelles.<br><b>Jung</b> : les rêves individuels s'inscrivent dans les productions collectives ; les mythes sont des modèles universels — les archétypes — issus de l'inconscient collectif."
"Quelle est la définition de la psychologie du développement et en quoi diffère-t-elle de la psychologie de l'enfant et de la psychologie génétique ?";"<b>Psychologie de l'enfant</b> : centrée sur l'enfant, de la naissance à l'adolescence.<br><b>Psychologie génétique</b> (Piaget) : étude de la genèse, de l'évolution des processus menant à la pensée adulte.<br><b>Psychologie du développement</b> : englobe les deux, s'intéresse aussi au contexte et à toute la vie."
"Quels sont les 4 buts principaux de la psychologie du développement ?";"1. <b>Comprendre</b> (décrire et expliquer) les changements et stabilités avec l'âge.<br>2. <b>Déterminer</b> les facteurs biologiques, psychologiques, sociaux du développement.<br>3. <b>Prédire</b> les changements liés à l'âge.<br>4. <b>Proposer</b> des interventions pédagogiques, thérapeutiques et des mesures politiques."
"Pourquoi le cadre théorique est-il déterminant pour interpréter un comportement ? (exemple de l'enfant de 2 ans)";"Le même comportement (crise à la séparation) peut être lu comme : stratégie d'attachement (Bowlby), comportement renforcé (béhaviorisme), ou réactivité émotionnelle élevée (tempérament). <b>Le cadre théorique détermine ce qu'on appelle « le problème », ce qu'on mesure et ce qu'on propose comme intervention.</b>"
"Quelle est la conception de Platon sur l'enfant ?";"L'enfant est un <b>adulte en miniature</b>, différent de l'adulte seulement de façon quantitative. Tout est fixé à la naissance → position <b>innéiste</b>. Le savoir est déjà acquis (le monde des idées), apprendre c'est se rappeler. L'environnement dégrade l'esprit de l'enfant."
"Quels sont les 6 principes pédagogiques de Comenius (1592-1670) ?";"1. Tout doit être enseigné à tout le monde (universalité, sans distinction de sexe ni richesse).<br>2. Éveiller l'intérêt par les images, les jeux, sans punitions corporelles.<br>3. Égalité des capacités intellectuelles entre garçons et filles.<br>4. Prise en charge des élèves en difficulté.<br>5. Importance du travail manuel et de l'éducation artistique.<br>6. Système éducatif en 4 degrés (maternelle, primaire, secondaire, académie), éducation pour toute la vie."
"Quelle est la conception de John Locke sur l'enfant ?";"L'esprit de l'enfant est une <b>tabula rasa</b> (ardoise vierge) : aucune idée innée, toute connaissance vient de l'expérience. Position <b>empiriste</b>. Précurseur des courants béhavioristes. Il recommande corps sain, caractère vertueux, programme d'études axé sur l'utilité."
"Quelle est l'innovation de Rousseau par rapport à Locke et Platon sur l'enfant ?";"Rousseau est le premier à affirmer que l'enfant est différent de l'adulte <b>qualitativement ET quantitativement</b>. L'enfance a sa propre valeur. L'enfant naît bon et la société le corrompt. Il réfute la tabula rasa et introduit la notion d'<b>étapes ordonnées chronologiquement</b> (préfiguration des stades)."
