#separator:Semicolon
#html:true
#notetype:Basic
#deck:Psychologie Clinique - Freud & Psychanalyse
#tags:psychologie-clinique psychanalyse freud

Question;Réponse
"Selon Paul Assoun, la psychanalyse est :";"1. Une <b>méthode d'investigation du psychisme</b>, liée à une conception précise de la sexualité.<br>2. Une <b>méthode thérapeutique</b> (traitement des troubles névrotiques).<br>3. Une <b>conception de l'Homme</b> qui le distingue de l'animal."
"Quelle est la définition de la psychanalyse donnée par Freud en 1922 ?";"« La psychanalyse est le nom d'un procédé pour l'investigation de processus animiques qui sont à peine perceptibles autrement ; une méthode de traitement des troubles névrotiques qui se fonde sur cette investigation ; une série de vues psychologiques acquises par cette voie, qui croissent progressivement pour se rejoindre en discipline scientifique nouvelle. »"
"Qu'est-ce que l'hypothèse de l'inconscient implique sur la nature de l'homme ?";"L'homme n'est <b>pas transparent à lui-même</b> : il n'est pas seulement sa conscience. Il est aussi ce qui lui échappe irrémédiablement. « Le moi n'est pas maître en sa demeure » (Freud, 1919). Ce qui détermine l'homme lui échappe en partie, et l'accès à ces éléments suppose une méthode indirecte fondée sur <b>l'interprétation et la libre association</b>."
"En quoi la conception freudienne de l'inconscient diffère-t-elle des conceptions antérieures ?";"Avant Freud, l'inconscient était simplement « le négatif de la conscience » (ce qui n'est pas conscient), la conscience restant souveraine.<br>Pour Freud, <b>l'inconscient est premier logiquement</b> : il détermine et gouverne l'ensemble de la vie psychique. La conscience est reléguée à un rang secondaire."
"En quoi la psychanalyse n'est-elle pas un système philosophique selon Freud ?";"Freud refuse le modèle philosophique (concepts définis a priori saisissant l'univers). La psychanalyse : <b>part de faits cliniques</b>, avance en tâtonnant, est toujours inachevée, prête à aménager ses doctrines. Elle tire sa légitimité de l'expérience clinique, non d'une cohérence conceptuelle a priori."
"Qu'est-ce que la métapsychologie ?";"Terme inventé par Freud pour désigner la partie la plus théorique de la psychanalyse. Étymologiquement : « au-delà de la psychologie ».<br>Freud (L'Inconscient) : « Je propose qu'on parle de présentation métapsychologique lorsqu'on parvient à décrire un processus psychique dans ses <b>relations dynamiques, topiques et économiques</b>. »"
"Quels sont les trois points de vue de la métapsychologie ?";"1. <b>Topique</b> : organisation spatiale/logique de l'appareil psychique (systèmes ou instances).<br>2. <b>Dynamique</b> : les phénomènes psychiques résultent d'un conflit entre forces antagonistes.<br>3. <b>Économique</b> : étude quantitative de l'énergie psychique (libido), sa répartition et sa circulation entre les instances."
"Quels sont les systèmes de la première topique freudienne (1896) ?";"<b>ICS</b> (Inconscient) : représentations de choses, principe de plaisir, processus primaires. Ne connaît ni le temps, ni la contradiction, ni la négation.<br><b>PCS</b> (Préconscient) : représentations de mots, principe de réalité, processus secondaires. Connaît le temps, la contradiction et la négation.<br><b>PC-CS</b> (Perception-Conscience) : système perceptif, sans représentation."
"Quelle est la différence entre le préconscient et l'inconscient dans la première topique ?";"<b>Préconscient</b> : représentations de mots (traces verbales/acoustiques), soumis au principe de réalité, processus secondaires, connaît le temps, la négation et la contradiction. Son contenu peut devenir conscient.<br><b>Inconscient</b> : représentations de choses, principe de plaisir, processus primaires, intemporel, ne connaît ni la négation ni la contradiction."
"Qu'est-ce que le processus primaire vs le processus secondaire ?";"<b>Processus primaire</b> : libre circulation de l'énergie psychique d'une représentation à une autre (condensation, déplacement). Lié au principe de plaisir. Caractéristique de l'ICS.<br><b>Processus secondaire</b> : énergie psychique circulant de manière contrôlée. Lié au principe de réalité. Caractéristique du PCS."
"Qu'est-ce que la censure en psychanalyse ?";"Fonction (non un système) qui <b>interdit aux représentations inconscientes d'accéder au système préconscient-conscient</b>. Elle s'atténue lors du sommeil (relâchement partiel → formation du rêve). Le symptôme est un élément refoulé qui passe la censure de façon déguisée."
