#separator:Semicolon
#html:true
#notetype:Basic
#deck:Psychologie Différentielle
#tags:psychologie-differentielle differences-individuelles

Question;Réponse
"Quelle est la question fondamentale posée par la psychologie différentielle ?";"« En quoi sommes-nous <b>différents les uns des autres</b> ? » Elle étudie les différences observables dans les conduites d'individus (ou de groupes) placés dans des <b>situations comparables</b>. Elle vise à constater, décrire l'organisation et expliquer ces différences."
"Quelles sont les 3 sources d'influence sur toute observation en psychologie (le cube de Cattell) ?";"1. La <b>situation</b> → étudiée par la psychologie cognitive et sociale (approche expérimentale).<br>2. Le <b>temps</b> → étudié par la psychologie développementale.<br>3. L'<b>individu</b> → étudié par la psychologie différentielle (approche différentielle).<br>Ces 3 approches sont <i>complémentaires</i> car chacune perd une partie de l'information."
"Quelle est la définition formelle de la psychologie différentielle (Reuchlin) ?";"« La psychologie différentielle étudie les différences observables dans les conduites d'individus différents, ou de groupes d'individus, placés dans des situations comparables. Elle a pour objectifs de <b>constater</b> ces différences, de décrire leur <b>organisation</b> et de les <b>expliquer</b>. »"
"Quelle est la distinction entre conduites cognitives et conduites conatives ?";"<b>Conduites cognitives</b> : renvoient à l'acquisition et au traitement de l'information (aptitudes intellectuelles, raisonnement, mémoire). Ex. : Binet, Wechsler, Thurstone.<br><b>Conduites conatives</b> : renvoient à la motivation et aux émotions (personnalité, valeurs, régulation émotionnelle). Ex. : Eysenck, Costa et McCrae."
"Quelle est la différence entre type, style et trait (dimension) en psychologie différentielle ?";"<b>Type</b> : variable catégorielle qui distingue des paquets d'individus (ex. : gauchers vs droitiers).<br><b>Style</b> : mode de fonctionnement préférentiel, mais l'individu peut en changer (ex. : locus de contrôle interne/externe).<br><b>Trait (dimension)</b> : variable continue (continuum), stable dans le temps et d'une situation à l'autre. Ex. : extraversion. C'est la forme la plus courante en psychologie différentielle."
"Quelles sont les 3 caractéristiques qui font d'une variable une dimension (trait) psychologique ?";"1. C'est un <b>continuum</b> (pas deux catégories, mais une graduation).<br>2. Elle est <b>stable dans le temps</b> (être extraverti aujourd'hui prédit l'être demain).<br>3. Elle s'exprime dans des <b>situations variées</b> (une personne extravertie au travail l'est aussi en famille, dans les loisirs, etc.)."
"Qu'est-ce qu'une corrélation et comment l'interpréter ?";"La corrélation indique si le classement des individus sur une variable correspond à leur classement sur une autre variable.<br><b>Sens</b> : positive (les deux variables augmentent ensemble) ou négative (l'une augmente quand l'autre diminue).<br><b>Force</b> : < .30 = faible ; .30 à .50 = moyenne ; > .50 = forte.<br>⚠️ Corrélation ≠ causalité. Une 3ème variable peut expliquer la corrélation."
"Pourquoi une corrélation forte ne signifie pas nécessairement une causalité ?";"Exemple : chez les enfants, pointure et vitesse de lecture sont corrélées, mais c'est l'<b>âge</b> (3ème variable) qui explique les deux. De même, corrélation entre vocabulaire et vitesse de lecture : toutes deux dépendent de l'<b>aptitude verbale</b>. Règle : toujours chercher si une 3ème variable confondante peut expliquer la relation."
"Qu'est-ce que l'analyse factorielle et à quoi sert-elle ?";"Outil statistique qui, à partir d'une <b>matrice de corrélations</b>, identifie automatiquement :<br>1. Le nombre de <b>variables latentes</b> (dimensions sous-jacentes).<br>2. Les <b>variables observées</b> (items/épreuves) associées à chacune.<br>Le principe : des variables fortement corrélées entre elles = même phénomène sous-jacent = une variable latente. L'analyse factorielle ne nomme pas les variables latentes : c'est le chercheur qui le fait."
"Qu'est-ce qu'une saturation dans une analyse factorielle ?";"Une <b>saturation</b> est la corrélation entre une variable observée et une variable latente. Plus elle est élevée, plus la variable observée mesure bien cette dimension latente. On dit qu'une variable observée « est saturée par » une variable latente, et qu'une variable latente « est mesurée par » les variables observées à saturation élevée."
