#separator:Semicolon
#html:true
#notetype:Basic
#deck:Psychologie du Développement
#tags:psychologie-developpement

Question;Réponse
Quelle est la définition de la <b>psychologie du développement</b> ?;<b>Étude scientifique des changements dans le fonctionnement psychologique de l'individu au cours de son existence</b>, incluant la psychopathologie du développement.<br>Le normal et le pathologique interagissent et se nourrissent mutuellement (Perret & Faure, 2006).
Qui est Jean Piaget et qu'a-t-il étudié ?;Biologiste et épistémologue suisse (1896-1980) qui a voulu comprendre <b>comment se construisent les connaissances</b>.<br>Il a étudié le développement cognitif de l'enfant pour comprendre l'épistémologie génétique à l'échelle ontogénétique.
Qu'est-ce que l'<b>épistémologie génétique</b> selon Piaget ?;Théorie qui vise à expliquer <b>comment la connaissance se construit chez l'individu depuis l'enfance</b>.<br>Piaget s'intéresse aux <i>invariants</i> (noyau cognitif commun à tous les sujets).
Quelles sont les <b>caractéristiques de la théorie piagétienne</b> du développement cognitif ?;<ul><li><b>Constructiviste</b> : situated entre innéisme et empirisme</li><li><b>Interactionniste</b> : l'intelligence se construit par interaction bidirectionnelle enfant/environnement</li><li><b>Structuraliste</b> : intérêt pour les structures d'actions (stades)</li></ul>L'enfant est <b>actif</b> dans la construction de ses connaissances.
Quelle est la différence entre <b>assimilation</b> et <b>accommodation</b> chez Piaget ?;<b>Assimilation</b> : l'enfant agit sur l'environnement et intègre des données à un schème préexistant (sans modifier la structure).<br><b>Accommodation</b> : l'environnement agit sur l'enfant qui modifie ses structures de pensée pour s'adapter à de nouvelles expériences.
Qu'est-ce que l'<b>équilibration majorante</b> chez Piaget ?;Processus de développement : état d'équilibre initial → <b>déséquilibre</b> (conflit cognitif avec une situation nouvelle) → <b>rééquilibration</b> par régulations compensatrices → <b>équilibre majoré</b> (niveau supérieur).<br>Le conflit cognitif est positif : il est le moteur du progrès.
Quels sont les <b>4 stades du développement</b> selon Piaget avec leurs âges ?;<ul><li><b>Sensori-moteur</b> : 0-2 ans (action immédiate)</li><li><b>Pré-opératoire</b> : 2-7 ans (pensée symbolique et intuitive)</li><li><b>Opératoire concret</b> : 7-12 ans (opérations sur objets réels)</li><li><b>Opérations formelles</b> : 12+ ans (raisonnement hypothético-déductif)</li></ul>Modèle en escalier : ordre constant, stades intégrés et non inversables.
Quelles sont les <b>manifestations de la pensée symbolique</b> chez l'enfant (2-4 ans) ?;<ul><li><b>Imitation différée</b> : reproduire une action observée en l'absence du modèle</li><li><b>Jeu de faire semblant / Jeu symbolique</b> : détourner un objet pour représenter autre chose</li><li><b>Langage</b> : représenter des réalités absentes</li><li><b>Dessin</b> (à partir du réalisme manqué)</li></ul>
Quels sont les stades du <b>développement du dessin</b> selon Luquet (1927) ?;<ul><li>2 ans : <b>Gribouillage</b></li><li>3 ans : <b>Réalisme fortuit</b> (signification attribuée après)</li><li>4 ans : <b>Réalisme manqué</b> (intention de représenter, mais décalage)</li><li>4-8 ans : <b>Réalisme intellectuel</b> (dessine ce qu'il sait)</li><li>8-9 ans : <b>Réalisme visuel</b> (dessine ce qu'il voit, perspective 3D)</li></ul>
Qu'est-ce que l'<b>égocentrisme intellectuel</b> selon Piaget ?;Limitation cognitive de la pensée préopératoire : <b>centration sur son propre point de vue par incapacité à prendre en compte le point de vue d'autrui</b>.<br>Ce n'est pas un défaut moral, mais une étape normale du développement.
Quelles sont les <b>4 manifestations de l'égocentrisme</b> décrites par Piaget ?;<ul><li><b>Réalisme</b> : confère une réalité objective aux aspects subjectifs</li><li><b>Animisme</b> : attribue une intentionnalité, une âme aux objets</li><li><b>Artificialisme</b> : pense que l'humain a fabriqué les éléments naturels</li><li><b>Finalisme</b> : les phénomènes naturels existent pour répondre aux besoins humains</li></ul>
Quelles sont les <b>3 limitations</b> de la pensée préopératoire selon Piaget ?;<ul><li><b>Contradiction</b> : affirmer une chose et son contraire sans s'en rendre compte</li><li><b>Centration</b> : s'axer sur un seul aspect saillant du problème</li><li><b>Irréversibilité</b> : incapacité à comprendre qu'une transformation inverse rétablit l'état initial</li></ul>
